URL,headline,author,date
Everybody wants a piece of Miles in Spider-Man: Across the Spider-Verse’s latest trailer,Charles Pulliam-Moore,https://www.theverge.com/2023/4/4/23668235/spider-man-across-the-spider-verse-trailer-2-new-suit,"Tuesday, 04 April 2023 at 07:42 AM"
The sky’s the limit,Daniel Oberhaus,https://www.theverge.com/23653862/msfs-home-flight-simulator-pilot,"Monday, 03 April 2023 at 01:30 PM"
Chemicals banned from air conditioners and refrigerators are making a comeback — and scientists don’t know why,Justine Calma,https://www.theverge.com/2023/4/3/23665293/cfcs-air-conditioning-refrigerants-ozone-depleting-chemicals-surprise-comeback,"Monday, 03 April 2023 at 03:41 PM"
All mixed up,Natalie Weiner,https://www.theverge.com/23653818/spotify-shuffle-button-music-history,"Monday, 03 April 2023 at 12:30 PM"
The rest of the auto industry still loves CarPlay and Android Auto,Andrew J. Hawkins,https://www.theverge.com/2023/4/3/23667793/gm-carplay-android-auto-ford-volvo-honda-response,"Monday, 03 April 2023 at 12:17 PM"
"The Asus ROG Ally handheld gaming PC is real, not an April Fools’ joke",Richard Lawler,https://www.theverge.com/2023/4/1/23666084/asus-rog-ally-handheld-windows-gaming-portable,"Monday, 03 April 2023 at 11:00 PM"
Google Drive quietly introduced (then pulled) a file creation limit for all users,Emma Roth,https://www.theverge.com/2023/4/3/23667971/google-drive-5-million-files-limit-storage,"Tuesday, 04 April 2023 at 07:15 AM"
Apple has reportedly started a small number of corporate layoffs,Mitchell Clark,https://www.theverge.com/2023/4/3/23668889/apple-corporate-layoffs-retail-big-tech-cuts,"Monday, 03 April 2023 at 11:34 PM"
Flipboard’s done with Twitter.,Mitchell Clark,https://www.theverge.com/2023/4/3/23668966/flipboards-done-with-twitter,"Monday, 03 April 2023 at 11:33 PM"
Tesla launches a Cybertruck-styled charging box in China.,Richard Lawler,https://www.theverge.com/2023/4/3/23668913/tesla-launches-a-cybertruck-styled-charging-box-in-china,"Monday, 03 April 2023 at 10:47 PM"
"Today in Twitter: where are the retweet labels, and why did Doge replace the bird?",Mitchell Clark,https://www.theverge.com/2023/4/3/23668356/twitter-doge-bird-logo-retweet-labels-following-timeline,"Monday, 03 April 2023 at 10:34 PM"
Tesla ordered to pay $3.2 million over worker’s racist treatment.,Emma Roth,https://www.theverge.com/2023/4/3/23668864/tesla-ordered-to-pay-3-2-million-over-workers-racist-treatment,"Monday, 03 April 2023 at 10:18 PM"
The best deals on MacBooks right now,Antonio G. Di Benedetto,https://www.theverge.com/22399419/apple-macbook-air-pro-mac-mini-imac-deals,"Monday, 03 April 2023 at 09:34 PM"
Hulu’s redesigning its unintuitive interface,Mitchell Clark,https://www.theverge.com/2023/4/3/23668643/hulu-interface-side-bar-redesign,"Monday, 03 April 2023 at 09:24 PM"
The delightful excesses of smartphone maximalism,Mia Sato,https://www.theverge.com/creators/23650385/smartphone-case-iphone-decoden-custom,"Monday, 03 April 2023 at 02:00 PM"
"If you’re tired of Twitter trouble, Post.news has opened its doors to everyone.",Richard Lawler,https://www.theverge.com/2023/4/3/23668803/if-youre-tired-of-twitter-trouble-post-news-has-opened-its-doors-to-everyone,"Monday, 03 April 2023 at 09:20 PM"
